MonthYear,Description,TotalQuantitySold,AverageUnitPrice,TotalSales
2011-07,GENTLEMAN SHIRT REPAIR KIT ,260,0.84,194.48
2011-07,GEORGIAN TRINKET BOX,4,12.5,50.0
2011-07,GIANT 50'S CHRISTMAS CRACKER,151,2.86,417.19
2011-07,GIFT BAG BIRTHDAY,174,0.46,85.96
2011-07,GIFT BAG PSYCHEDELIC APPLES,356,0.48,185.4
2011-07,GIN & TONIC DIET GREETING CARD ,192,0.57,85.56
2011-07,GIN + TONIC DIET METAL SIGN,800,2.75,1870.75
2011-07,GIN AND TONIC MUG,100,1.86,137.24
2011-07,GINGERBREAD MAN COOKIE CUTTER,409,1.36,486.31
2011-07,GINGHAM BABUSHKA DOORSTOP,5,3.75,18.75
2011-07,GINGHAM HEART  DOORSTOP RED,38,5.01,173.62
2011-07,GINGHAM HEART DECORATION,210,1.06,183.96
2011-07,GIRAFFE WOODEN RULER,117,1.95,228.15
2011-07,GIRLS ALPHABET IRON ON PATCHES ,3579,0.37,662.22
2011-07,GIRLS PARTY BAG,5,1.25,6.25
2011-07,GIRLS VINTAGE TIN SEASIDE BUCKET,124,2.77,320.53
2011-07,GLAMOROUS  MUG,19,1.83,27.83
2011-07,GLASS  BEURRE DISH,82,4.78,323.48
2011-07,GLASS  SONGBIRD STORAGE JAR,29,13.24,364.16
2011-07,GLASS AND PAINTED BEADS BRACELET OL,1,3.73,3.73
2011-07,GLASS AND PAINTED BEADS BRACELET TO,2,3.73,7.46
2011-07,GLASS APOTHECARY BOTTLE ELIXIR,110,4.68,432.2
2011-07,GLASS APOTHECARY BOTTLE PERFUME,111,4.73,444.83
2011-07,GLASS APOTHECARY BOTTLE TONIC,121,4.17,462.63
2011-07,GLASS BEAD HOOP EARRINGS AMETHYST,1,3.32,3.32
2011-07,GLASS BEAD HOOP EARRINGS GREEN,1,2.9,2.9
2011-07,GLASS BEAD HOOP NECKLACE GREEN,1,8.32,8.32
2011-07,GLASS BON BON JAR,165,2.31,314.13
2011-07,GLASS BONNE JAM JAR,31,4.15,128.65
2011-07,GLASS CLOCHE LARGE,109,7.65,833.85
2011-07,GLASS CLOCHE SMALL,17,6.55,101.87
2011-07,GLASS HEART T-LIGHT HOLDER ,250,1.22,246.94
2011-07,GLASS JAR DAISY FRESH COTTON WOOL,44,4.48,175.24
2011-07,GLASS JAR DIGESTIVE BISCUITS,14,3.52,44.14
2011-07,GLASS JAR ENGLISH CONFECTIONERY,53,3.3,149.59
2011-07,GLASS JAR KINGS CHOICE,11,3.52,35.29
2011-07,GLASS JAR MARMALADE ,25,2.75,64.15
2011-07,GLASS JAR PEACOCK BATH SALTS,15,4.72,64.13
2011-07,GLASS SONGBIRD STORAGE JAR,1,12.5,12.5
2011-07,GLASS SPHERE CANDLE STAND MEDIUM,7,9.01,54.17
2011-07,GLASS STAR FROSTED T-LIGHT HOLDER,21,4.81,95.55
2011-07,GLASS TWIST BON BON JAR,2,7.85,15.7
2011-07,GLITTER BUTTERFLY CLIPS,56,3.22,157.26
2011-07,GLITTER CHRISTMAS STAR ,61,0.85,51.85
2011-07,GLITTER CHRISTMAS TREE,5,0.85,4.25
2011-07,GLITTER HANGING BUTTERFLY STRING,61,2.41,134.19
2011-07,GLITTER HEART DECORATION,13,1.24,14.17
2011-07,GLITTER HEART GARLAND WITH BELLS ,12,5.6,56.13
2011-07,GLITTER STAR GARLAND WITH BELLS ,8,3.75,30.0
2011-07,GOLD FABRIC MIRROR,14,0.61,5.9
2011-07,GOLD FISHING GNOME,2,9.7,19.41
2011-07,GOLD M PEARL  ORBIT NECKLACE,1,10.4,10.4
2011-07,GOLD M.O.P ORBIT BRACELET,3,5.4,16.2
2011-07,GOLD M.O.P ORBIT DROP EARRINGS,1,4.15,4.15
2011-07,GOLD MINI TAPE MEASURE ,60,0.87,51.48
2011-07,GOLD PHOTO FRAME,4,3.45,12.46
2011-07,GOLD/M.O.P PENDANT ORBIT NECKLACE,1,8.32,8.32
2011-07,GOLDIE LOOKING MIRROR,6,4.95,29.7
2011-07,GRAND CHOCOLATECANDLE,713,1.56,944.84
2011-07,GRASS HOPPER WOODEN WALL CLOCK ,179,0.79,141.41
2011-07,GREEN  DIAMANTE PEN IN GIFT BOX,7,2.96,19.71
2011-07,GREEN BIRDHOUSE DECORATION,26,1.11,23.66
2011-07,GREEN BITTY LIGHT CHAIN,1,4.65,4.65
2011-07,GREEN CAT FLORAL CUSHION COVER ,8,4.13,33.04
2011-07,GREEN CHRISTMAS TREE CARD HOLDER,2,6.27,12.54
2011-07,GREEN CRYSTAL DROP EARRINGS,1,2.9,2.9
2011-07,GREEN DRAWER KNOB ACRYLIC EDWARDIAN,116,1.55,158.31
2011-07,GREEN DROP EARRINGS W BEAD CLUSTER,1,3.32,3.32
2011-07,GREEN ENAMEL FLOWER RING,7,2.9,20.3
2011-07,GREEN ENAMEL+GLASS HAIR COMB,19,2.07,39.33
2011-07,GREEN FERN JOURNAL ,41,2.48,102.12
2011-07,GREEN FERN NOTEBOOK,7,1.65,11.55
2011-07,GREEN FERN POCKET BOOK,9,0.85,7.65
2011-07,GREEN FERN SKETCHBOOK ,8,3.75,30.0
2011-07,GREEN GIANT GARDEN THERMOMETER,69,5.84,374.55
2011-07,GREEN GLASS TASSLE BAG CHARM,2,1.63,3.26
2011-07,GREEN HEART COMPACT MIRROR,34,2.16,52.18
2011-07,GREEN HEART OF GLASS BRACELET,1,5.95,5.95
2011-07,GREEN JUICY FRUIT PHOTO FRAME,6,3.35,20.12
2011-07,GREEN METAL BOX ARMY SUPPLIES,29,8.89,247.63
2011-07,GREEN MURANO TWIST BRACELET,1,4.15,4.15
2011-07,GREEN PAIR HEART HAIR SLIDES,1,3.73,3.73
2011-07,GREEN PENDANT TRIPLE SHELL NECKLACE,5,5.25,25.65
2011-07,GREEN PEONY CUSHION COVER,2,4.65,9.3
2011-07,GREEN POLKADOT BOWL,123,1.64,148.54
2011-07,GREEN POLKADOT PLATE ,143,1.83,221.83
2011-07,GREEN REGENCY TEACUP AND SAUCER,679,3.82,2010.53
2011-07,GREEN ROSE WASHBAG,24,3.43,84.48
2011-07,GREEN ROUND COMPACT MIRROR,59,2.19,87.06
2011-07,GREEN SQUARE COMPACT MIRROR,26,2.06,34.92
2011-07,GREEN STONE/CRYSTAL EARRINGS,1,2.9,2.9
2011-07,GREEN SWEETHEART BRACELET,4,4.15,16.6
2011-07,GREEN VINTAGE EARRINGS ,2,4.15,8.3
2011-07,GREEN VINTAGE SPOT BEAKER,356,1.08,322.1
2011-07,GREEN WIRE STANDING CANDLE HOLDER,1,3.75,3.75
2011-07,GREEN WITH METAL BAG CHARM,3,4.95,14.85
2011-07,GREEN/BLUE CERAMIC CANDLE HOLDER,8,1.65,13.2
2011-07,"GREETING CARD, OVERCROWDED POOL.",68,0.38,20.28
2011-07,"GREETING CARD, STICKY GORDON",30,0.4,9.84
2011-07,"GREETING CARD, TWO SISTERS.",2,0.83,1.66
2011-07,"GREETING CARD,SQUARE, DOUGHNUTS",1,0.83,0.83
2011-07,GREY HEART HOT WATER BOTTLE,63,4.17,227.83
2011-07,GROOVY CACTUS INFLATABLE,24,0.39,9.36
2011-07,GROW A FLYTRAP OR SUNFLOWER IN TIN,1034,1.36,1070.36
2011-07,GROW YOUR OWN BASIL IN ENAMEL MUG,34,2.71,79.52
2011-07,GROW YOUR OWN FLOWERS SET OF 3,3,7.95,23.85
2011-07,GROW YOUR OWN HERBS SET OF 3,3,7.95,23.85
2011-07,GUMBALL COAT RACK,520,2.83,1202.47
2011-07,GUMBALL MAGAZINE RACK,44,8.11,322.31
2011-07,GYMKHANA TREASURE BOOK BOX,36,2.83,90.32
2011-07,HAIRCLIPS FORTIES FABRIC ASSORTED,24,0.65,15.6
2011-07,HAND OVER THE CHOCOLATE   SIGN ,627,2.41,1258.76
2011-07,HAND WARMER BABUSHKA DESIGN,6,2.61,16.66
2011-07,HAND WARMER OWL DESIGN,2,2.1,4.2
2011-07,HAND WARMER UNION JACK,1,4.13,4.13
2011-07,HANGING BAUBLE T-LIGHT HOLDER LARGE,2,5.79,11.58
2011-07,HANGING BAUBLE T-LIGHT HOLDER SMALL,7,2.55,17.85
2011-07,HANGING CHICK  YELLOW DECORATION,33,1.28,42.85
2011-07,HANGING CHICK CREAM DECORATION,98,1.3,134.7
2011-07,HANGING CHICK GREEN DECORATION,92,1.31,124.6
2011-07,HANGING ENGRAVED METAL HEART,25,4.15,103.75
2011-07,HANGING FAIRY CAKE DECORATION,65,1.72,114.88
2011-07,HANGING HEART JAR T-LIGHT HOLDER,742,1.52,1003.83
2011-07,HANGING HEART MIRROR DECORATION ,190,0.92,135.5
2011-07,HANGING HEART WITH BELL,65,1.91,82.74
2011-07,HANGING HEART ZINC T-LIGHT HOLDER,519,1.14,431.82
2011-07,HANGING HEN ON NEST DECORATION,29,1.65,47.85
2011-07,HANGING JAM JAR T-LIGHT HOLDER,1294,0.89,1025.74
2011-07,HANGING METAL CHICKEN DECORATION,18,1.25,22.5
2011-07,HANGING METAL HEART LANTERN,188,1.98,331.52
2011-07,HANGING METAL RABBIT DECORATION,8,1.25,10.0
2011-07,HANGING METAL STAR LANTERN,93,1.65,153.45
2011-07,HANGING PHOTO CLIP ROPE LADDER,29,1.65,47.85
2011-07,HANGING SPRING FLOWER EGG SMALL,61,0.52,16.87
2011-07,HANGING WOOD AND FELT BUTTERFLY ,23,0.49,10.03
2011-07,HANGING WOOD AND FELT FLOWER,36,0.17,4.92
2011-07,HANGING WOOD AND FELT HEART,27,0.54,12.45
2011-07,HAPPY STENCIL CRAFT,273,1.31,330.83
2011-07,HARDMAN MUG 3 ASSORTED,2,0.39,0.78
2011-07,HAWAIIAN GRASS SKIRT ,13,1.25,16.25
2011-07,HEADS AND TAILS SPORTING FUN,293,1.37,297.39
2011-07,HEART BEADED TRELLIS DECORATION,5,3.1,14.5
2011-07,HEART BUTTONS JEWELLERY BOX,28,4.96,138.88
2011-07,HEART CALCULATOR,228,1.63,354.33
2011-07,HEART DECORATION PAINTED ZINC ,141,0.8,95.85
2011-07,HEART DECORATION RUSTIC HANGING ,440,0.52,105.68
2011-07,HEART DECORATION WITH PEARLS ,286,1.24,271.18
2011-07,HEART FILIGREE DOVE  SMALL,255,1.49,324.8
2011-07,HEART FILIGREE DOVE LARGE,146,1.98,250.74
2011-07,HEART GARLAND RUSTIC PADDED,8,2.95,23.6
2011-07,HEART IVORY TRELLIS LARGE,407,1.8,672.43
2011-07,HEART IVORY TRELLIS SMALL,225,1.94,327.23
2011-07,HEART OF WICKER LARGE,567,3.51,1769.19
2011-07,HEART OF WICKER SMALL,1086,2.02,1835.54
2011-07,HEART SHAPE WIRELESS DOORBELL,11,2.1,23.1
2011-07,HEART SHAPED HOLLY WREATH,18,4.15,74.7
2011-07,HEART STRING MEMO HOLDER HANGING,5,3.29,16.45
2011-07,HEART T-LIGHT HOLDER WILLIE WINKIE,71,1.89,120.55
2011-07,HEART WOODEN CHRISTMAS DECORATION,15,1.11,13.53
2011-07,HEART WREATH DECORATION WITH BELL,221,1.34,272.46
2011-07,HEARTS  STICKERS,27,1.32,25.29
2011-07,HEARTS GIFT TAPE,15,0.9,10.73
2011-07,HELLO SAILOR BATHROOM SET,4,3.75,15.0
2011-07,HELLO SAILOR BLUE SOAP HOLDER,23,2.49,43.67
2011-07,HEN HOUSE DECORATION,17,1.65,28.05
2011-07,HEN PARTY CORDON BARRIER TAPE,44,1.07,44.08
2011-07,HERB MARKER BASIL,269,0.9,178.77
2011-07,HERB MARKER CHIVES ,267,0.88,176.49
2011-07,HERB MARKER MINT,77,0.74,51.03
2011-07,HERB MARKER PARSLEY,268,0.8,156.16
2011-07,HERB MARKER ROSEMARY,267,0.74,174.53
2011-07,HERB MARKER THYME,267,0.74,174.53
2011-07,HI TEC ALPINE HAND WARMER,30,0.79,23.7
2011-07,HILDA CANDY SPOT RABBIT,3,3.75,11.25
2011-07,HOLIDAY FUN LUDO,122,4.14,383.56
2011-07,HOME BUILDING BLOCK WORD,136,6.4,833.1
2011-07,HOME GARLAND PAINTED ZINC ,120,1.32,121.68
2011-07,HOME SMALL WOOD LETTERS,12,5.53,65.24
2011-07,HOME SWEET HOME METAL SIGN ,79,3.17,235.89
2011-07,HOME SWEET HOME MUG,164,1.76,219.28
2011-07,HOMEMADE JAM SCENTED CANDLES,365,1.7,538.45
2011-07,HOT BATHS METAL SIGN,160,4.59,546.88
2011-07,HOT BATHS SOAP HOLDER,9,1.69,15.21
2011-07,HOT WATER BOTTLE BABUSHKA ,2,4.65,9.3
2011-07,HOT WATER BOTTLE I AM SO POORLY,35,6.0,179.0
2011-07,HOUSE SHAPE PENCIL SHARPENER,466,0.39,51.32
2011-07,HYACINTH BULB T-LIGHT CANDLES,32,0.42,13.44
2011-07,I LOVE LONDON BABY GIFT SET,15,19.4,266.28
2011-07,I LOVE LONDON BEAKER,19,1.45,24.96
2011-07,I'M ON HOLIDAY METAL SIGN,316,2.14,641.63
2011-07,ICE CREAM DESIGN GARDEN PARASOL,33,9.18,205.07
2011-07,ICE CREAM PEN LIP GLOSS ,794,1.34,994.92
2011-07,ICE CREAM SUNDAE LIP GLOSS,888,1.25,1110.0
2011-07,ICON MUG REVOLUTIONARY,9,0.39,3.51
2011-07,ICON PLACEMAT POP ART ELVIS,28,0.12,3.36
2011-07,IF YOU CAN'T STAND THE HEAT MUG,19,1.66,25.79
2011-07,ILLUSTRATED CAT BOWL ,35,2.79,91.66
2011-07,IVORY CAFE HANGING LAMP ,27,12.08,312.3
2011-07,IVORY CHANDELIER T-LIGHT HOLDER,16,6.25,100.0
2011-07,IVORY DINER WALL CLOCK,107,8.67,868.33
2011-07,IVORY EMBROIDERED QUILT ,4,54.13,202.35
2011-07,IVORY ENCHANTED FOREST PLACEMAT,25,2.35,52.73
2011-07,IVORY GOLD METAL BAG CHARM,3,4.95,14.85
2011-07,IVORY HANGING DECORATION  BIRD,101,0.83,84.71
2011-07,IVORY HANGING DECORATION  EGG,76,0.19,14.44
2011-07,IVORY HANGING DECORATION  HEART,188,1.11,173.84
2011-07,IVORY KITCHEN SCALES,132,9.35,1120.15
2011-07,IVORY KNITTED MUG COSY ,40,1.88,67.64
2011-07,IVORY LOVE BIRD CANDLE,37,1.65,51.09
2011-07,IVORY PAPER CUP CAKE CASES ,82,0.94,50.7
2011-07,IVORY PENDANT TRIPLE SHELL NECKLACE,3,4.95,14.85
2011-07,IVORY PILLAR CANDLE GOLD FLOCK,2,3.29,6.58
2011-07,IVORY PILLAR CANDLE SILVER FLOCK,2,3.29,6.58
2011-07,IVORY REFECTORY CLOCK,44,9.86,416.2
2011-07,IVORY SCULPTED RND CANDLE ,1,0.85,0.85
2011-07,IVORY SHELL HEART EARRINGS,1,2.48,2.48
2011-07,IVORY STRING CURTAIN WITH POLE ,13,7.68,42.53
2011-07,IVORY SWEETHEART SOAP DISH,12,3.55,37.29
2011-07,IVORY SWEETHEART WIRE LETTER RACK ,48,4.31,191.13
2011-07,IVORY WIRE KITCHEN ORGANISER,9,15.6,114.38
2011-07,IVORY WIRE SWEETHEART LETTER TRAY,10,4.68,41.21
2011-07,JADE CRYSTAL+GLASS BRACELET,2,4.96,9.93
2011-07,JADE DROP EARRINGS W FILIGREE,2,4.96,9.93
2011-07,JAM CLOCK MAGNET,34,3.25,101.16
2011-07,JAM JAR WITH GREEN LID,140,1.13,122.12
2011-07,JAM JAR WITH PINK LID,178,1.14,155.98
2011-07,JAM MAKING SET PRINTED,1225,1.97,1843.53
2011-07,JAM MAKING SET WITH JARS,852,4.62,3437.44
2011-07,JAZZ HEARTS ADDRESS BOOK,312,0.3,67.1
2011-07,JAZZ HEARTS PURSE NOTEBOOK,415,0.53,178.13
2011-07,JIGSAW RABBIT AND BIRDHOUSE,91,0.97,73.49
2011-07,JIGSAW TOADSTOOLS 3 PIECE,142,1.02,109.52
2011-07,JIGSAW TREE WITH BIRDHOUSE,152,1.04,139.84
2011-07,JIGSAW TREE WITH WATERING CAN,227,0.68,98.23
2011-07,JINGLE BELL HEART ANTIQUE GOLD,59,2.08,122.72
2011-07,JINGLE BELL HEART ANTIQUE SILVER,67,2.59,143.46
2011-07,JINGLE BELL HEART DECORATION,213,2.15,371.25
2011-07,JINGLE BELLS TREE DECORATION,2,2.1,4.2
2011-07,JOY WOODEN BLOCK LETTERS,9,4.95,44.55
2011-07,JUMBO  BAG BAROQUE BLACK WHITE,831,2.55,1698.58
2011-07,JUMBO BAG 50'S CHRISTMAS ,470,2.9,941.85
2011-07,JUMBO BAG ALPHABET,1142,2.29,2289.56
2011-07,JUMBO BAG APPLES,1396,2.7,2968.03
2011-07,JUMBO BAG CHARLIE AND LOLA TOYS,382,2.66,923.72
2011-07,JUMBO BAG DOILEY PATTERNS,2202,2.27,4382.86
2011-07,JUMBO BAG DOLLY GIRL DESIGN,388,2.56,852.04
2011-07,JUMBO BAG OWLS,1115,2.84,2238.0
2011-07,JUMBO BAG PEARS,841,2.33,1685.43
2011-07,JUMBO BAG PINK POLKADOT,1529,2.66,3125.27
2011-07,JUMBO BAG PINK VINTAGE PAISLEY,942,2.88,1951.21
2011-07,JUMBO BAG RED RETROSPOT,3129,2.6,6253.87
2011-07,JUMBO BAG SCANDINAVIAN BLUE PAISLEY,553,2.7,1195.04
2011-07,JUMBO BAG SPACEBOY DESIGN,474,2.92,995.57
2011-07,JUMBO BAG STRAWBERRY,1119,2.42,2159.97
2011-07,JUMBO BAG TOYS ,191,3.31,528.48
2011-07,JUMBO BAG VINTAGE CHRISTMAS ,77,2.72,170.41
2011-07,JUMBO BAG VINTAGE LEAF,1365,2.19,2766.75
2011-07,JUMBO BAG WOODLAND ANIMALS,646,3.06,1511.88
2011-07,JUMBO SHOPPER VINTAGE RED PAISLEY,754,2.88,1857.77
2011-07,JUMBO STORAGE BAG SKULLS,450,3.32,994.71
2011-07,JUMBO STORAGE BAG SUKI,1083,2.94,2487.19
2011-07,JUNGLE POPSICLES ICE LOLLY MOULDS,123,1.36,157.38
2011-07,KEY CABINET MA CAMPAGNE,14,11.38,149.31
2011-07,"KEY FOB , BACK DOOR ",183,0.88,125.81
2011-07,"KEY FOB , FRONT  DOOR ",99,0.82,68.27
2011-07,"KEY FOB , GARAGE DESIGN",48,0.65,31.2
2011-07,"KEY FOB , SHED",299,0.85,203.17
2011-07,KIDS RAIN MAC BLUE,133,0.82,112.39
2011-07,KIDS RAIN MAC PINK,101,0.81,84.17
2011-07,KINGS CHOICE BISCUIT TIN,23,5.56,109.03
2011-07,KINGS CHOICE GIANT TUBE MATCHES,17,2.55,43.35
2011-07,KINGS CHOICE MUG,12,1.93,19.08
2011-07,KINGS CHOICE TEA CADDY ,76,3.43,246.22
2011-07,KITCHEN FLOWER POTS WALL PLAQUE,22,5.08,111.1
2011-07,KITCHEN METAL SIGN,247,0.69,165.97
2011-07,KITTENS DESIGN FLANNEL,42,0.91,36.46
2011-07,KITTY PENCIL ERASERS,231,0.28,44.8
2011-07,KNEELING MAT HOUSEWORK  DESIGN,199,1.69,310.79
2011-07,KNICKERBOCKERGLORY MAGNET ASSORTED ,180,0.92,156.0
2011-07,KNITTED RABBIT DOLL ,16,1.65,26.4
2011-07,KNITTED UNION FLAG HOT WATER BOTTLE,24,6.97,156.44
2011-07,LA PALMIERA TILE COASTER,168,0.29,48.72
2011-07,LA PALMIERA TILE HOOK,31,0.39,12.09
2011-07,LADS ONLY TISSUE BOX,128,0.39,49.92
2011-07,LADYBIRD + BEE RAFFIA FOOD COVER,1,3.75,3.75
2011-07,LANTERN CREAM GAZEBO ,93,5.65,501.95
2011-07,LARGE ANTIQUE WHITE PHOTO FRAME,67,7.85,514.3
2011-07,LARGE APOTHECARY MEASURING JAR ,5,14.99,74.96
2011-07,LARGE BONNE JAM JAR  T-LIGHT HOLDER,24,2.89,69.36
2011-07,LARGE CAKE STAND  HANGING STRAWBERY,47,12.94,482.01
2011-07,LARGE CAKE TOWEL CHOCOLATE SPOTS,1,13.29,13.29
2011-07,LARGE CAKE TOWEL PINK SPOTS,3,11.11,33.33
2011-07,LARGE CAMPHOR WOOD FIELD MUSHROOM ,3,10.79,32.37
2011-07,LARGE CERAMIC TOP STORAGE JAR,321,2.1,506.01
2011-07,LARGE CHINESE STYLE SCISSOR,72,0.85,61.2
2011-07,LARGE CIRCULAR MIRROR MOBILE,789,1.53,741.65
2011-07,LARGE CRYSTAL DIAMANTE HAIRSLIDE,2,1.65,3.3
2011-07,LARGE DECO JEWELLERY STAND,69,13.29,810.16
2011-07,LARGE HANGING IVORY & RED WOOD BIRD,17,0.95,12.25
2011-07,LARGE HEART MEASURING SPOONS,45,2.56,85.73
2011-07,LARGE IVORY HEART WALL ORGANISER,59,10.17,503.43
2011-07,LARGE MEDINA STAMPED METAL BOWL ,8,4.95,39.6
2011-07,LARGE MINT DIAMANTE HAIRSLIDE,1,1.65,1.65
2011-07,LARGE PURPLE BABUSHKA NOTEBOOK  ,28,1.25,35.0
2011-07,LARGE RED BABUSHKA NOTEBOOK ,43,1.52,63.43
2011-07,LARGE RED RETROSPOT WINDMILL,103,2.72,228.66
2011-07,LARGE ROUND WICKER PLATTER ,8,5.95,47.6
2011-07,LARGE SKULL WINDMILL,5,2.1,10.5
2011-07,LARGE STRIPES CHOCOLATE GIFT BAG,52,1.25,65.0
2011-07,LARGE TORTILLA DESIGN RED BOWL,51,2.35,89.07
2011-07,LARGE WHITE HEART OF WICKER,312,3.29,966.72
2011-07,LARGE WHITE HONEYCOMB PAPER BELL  ,19,2.78,50.05
2011-07,LARGE YELLOW BABUSHKA NOTEBOOK ,24,1.61,40.89
2011-07,LARGE ZINC HEART WALL ORGANISER,398,7.06,2384.94
2011-07,LAUNDRY 15C METAL SIGN,225,1.88,365.4
2011-07,LAUREL HEART ANTIQUE GOLD,50,1.2,57.94
2011-07,LAUREL HEART ANTIQUE SILVER,82,1.4,99.96
2011-07,LAUREL STAR ANTIQUE GOLD,72,1.14,84.96
2011-07,LAUREL STAR ANTIQUE SILVER ,31,1.6,34.96
2011-07,LAVENDER INCENSE 40 CONES IN TIN,2,1.25,2.5
2011-07,LAVENDER SCENT CAKE CANDLE,72,0.29,20.88
2011-07,LAVENDER SCENTED FABRIC HEART,26,4.43,42.04
2011-07,LE GRAND TRAY CHIC SET,19,12.5,237.5
2011-07,LEAVES MAGNETIC  SHOPPING LIST,24,1.45,34.8
2011-07,LED TEA LIGHTS,149,2.89,430.61
2011-07,LETS GO SHOPPING COTTON TOTE BAG,41,1.66,70.55
2011-07,"LETTER ""A"" BLING KEY RING",19,0.97,20.81
2011-07,"LETTER ""B"" BLING KEY RING",2,0.83,1.66
2011-07,"LETTER ""C"" BLING KEY RING",23,1.0,26.65
2011-07,"LETTER ""D"" BLING KEY RING",9,0.94,9.99
2011-07,"LETTER ""E"" BLING KEY RING",9,1.04,10.41
2011-07,"LETTER ""F"" BLING KEY RING",1,0.83,0.83
2011-07,"LETTER ""G"" BLING KEY RING",3,0.97,2.91
2011-07,"LETTER ""H"" BLING KEY RING",2,0.83,1.66
2011-07,"LETTER ""I"" BLING KEY RING",12,1.25,15.0
2011-07,"LETTER ""J"" BLING KEY RING",5,0.83,4.15
2011-07,"LETTER ""K"" BLING KEY RING",9,0.97,9.99
2011-07,"LETTER ""L"" BLING KEY RING",14,0.97,16.66
2011-07,"LETTER ""M"" BLING KEY RING",5,0.91,4.57
2011-07,"LETTER ""N"" BLING KEY RING",1,0.83,0.83
2011-07,"LETTER ""R"" BLING KEY RING",4,0.83,3.32
2011-07,"LETTER ""S"" BLING KEY RING",6,0.83,4.98
2011-07,"LETTER ""V"" BLING KEY RING",2,0.83,1.66
2011-07,"LETTER ""W"" BLING KEY RING",1,0.83,0.83
2011-07,"LETTER ""Z"" BLING KEY RING",1,0.83,0.83
2011-07,LETTER SHAPE PENCIL SHARPENER,403,0.13,25.26
2011-07,LIGHT GARLAND BUTTERFILES PINK,90,4.15,340.26
2011-07,LIGHT PINK FLOCK GLASS CANDLEHOLDER,6,0.38,2.28
2011-07,LILAC DIAMANTE PEN IN GIFT BOX,22,2.77,56.61
2011-07,LILAC FEATHERS CURTAIN,12,0.79,9.48
2011-07,LILY BROOCH AMETHYST COLOUR,1,4.95,4.95
2011-07,LIPSTICK PEN BABY PINK,157,0.58,66.09
2011-07,LIPSTICK PEN FUSCHIA,257,0.6,98.4
2011-07,LIPSTICK PEN RED,235,0.55,97.62
2011-07,LITTLE GREEN MONSTER SOFT TOY,4,2.55,10.2
2011-07,LOCAL CAFE MUG,53,2.34,101.1
2011-07,LOLITA  DESIGN  COTTON TOTE BAG,10,1.7,16.92
2011-07,LONDON BUS COFFEE MUG,223,3.04,513.2
2011-07,LOVE BUILDING BLOCK WORD,76,6.69,477.41
2011-07,LOVE GARLAND PAINTED ZINC ,18,2.63,34.62
2011-07,LOVE HEART POCKET WARMER,2,1.65,3.3
2011-07,LOVE HEART SOCK HANGER,12,2.47,26.36
2011-07,LOVE HEART TRINKET POT,168,0.39,65.52
2011-07,LOVE LARGE WOOD LETTERS ,4,12.75,51.0
2011-07,LOVE POTION MASALA INCENSE,25,0.21,5.25
2011-07,LOVE SEAT ANTIQUE WHITE METAL,7,85.0,595.0
2011-07,LOVEBIRD HANGING DECORATION WHITE ,197,1.25,205.67
2011-07,LOVELY BONBON STICKER SHEET,7,0.8,5.59
2011-07,LUNCH BAG  BLACK SKULL.,1373,1.97,2342.43
2011-07,LUNCH BAG ALPHABET DESIGN,855,1.91,1418.87
2011-07,LUNCH BAG APPLE DESIGN,1792,1.91,2884.63
2011-07,LUNCH BAG CARS BLUE,1632,1.94,2790.18
2011-07,LUNCH BAG DOILEY PATTERN ,2061,1.72,3313.05
2011-07,LUNCH BAG DOLLY GIRL DESIGN,770,1.82,1215.38
2011-07,LUNCH BAG PINK POLKADOT,1530,1.98,2481.15
2011-07,LUNCH BAG RED RETROSPOT,1730,1.88,2927.83
2011-07,LUNCH BAG SPACEBOY DESIGN ,978,2.03,1671.25
2011-07,LUNCH BAG SUKI DESIGN ,1513,1.98,2603.35
2011-07,LUNCH BAG VINTAGE LEAF DESIGN,920,1.71,1477.79
2011-07,LUNCH BAG WOODLAND,1033,2.02,1902.74
2011-07,LUNCH BOX I LOVE LONDON,1189,2.12,2066.84
2011-07,LUNCH BOX WITH CUTLERY RETROSPOT ,112,3.6,341.03
2011-07,MA CAMPAGNE CUTLERY BOX,9,14.29,127.99
2011-07,MADRAS NOTEBOOK LARGE ,18,1.25,22.5
2011-07,MADRAS NOTEBOOK MEDIUM,122,0.75,91.5
2011-07,MAGAZINE RACK GEBRA ASSORTED ,58,1.25,72.5
2011-07,MAGIC DRAWING SLATE BAKE A CAKE ,195,0.37,53.1
2011-07,MAGIC DRAWING SLATE BUNNIES ,201,0.4,55.62
2011-07,MAGIC DRAWING SLATE CIRCUS PARADE  ,201,0.49,85.24
2011-07,MAGIC DRAWING SLATE DINOSAUR,42,0.52,19.28
2011-07,MAGIC DRAWING SLATE DOLLY GIRL ,64,0.49,28.11
2011-07,MAGIC DRAWING SLATE GO TO THE FAIR ,2,0.42,0.84
2011-07,MAGIC DRAWING SLATE LEAP FROG ,224,0.46,66.1
2011-07,MAGIC DRAWING SLATE PURDEY,352,0.44,123.14
2011-07,MAGIC DRAWING SLATE SPACEBOY ,138,0.52,60.01
2011-07,MAGIC GARDEN FELT GARLAND ,65,1.63,105.95
2011-07,MAGIC SHEEP WOOL GROWING FROM PAPER,16,2.55,40.8
2011-07,MAGIC TREE -PAPER FLOWERS,48,0.85,40.8
2011-07,MAGNETS PACK OF 4 CHILDHOOD MEMORY,52,1.25,65.0
2011-07,MAGNETS PACK OF 4 HOME SWEET HOME,401,0.48,168.78
